biuro_kwota; biuro_nazwa; dzial_kwota; dzial_nazwa; dzial_sub_kwota; dzial_sub_nazwa; gmina; zadanie; zadanie_kwota; zadanie_typ; zadanie_tresc;
;;;;;;Powiat;2123842 - Stołówki szkolne; 1.022.271;wydatki bie Ŝą ce;Ś rodki finansowe zostan ą  przeznaczone na  działalno ść  stołówek szkolnych w 6 placówkach.  Zgodnie z zatwierdzonymi organizacjami roku szkolnego 2013/2014 zatrudnienie wyniesie 12,75 etatów,w tym 3,25 etatów administracji i 9,5 etatów obsługi.;
;;;; 13.564.476;80195 Pozostała działalno ść;Gmina;2097551 - Promocja o ś wiaty; 30.000;wydatki bie Ŝą ce;Ś rodki przeznaczone zostan ą  dla szkół i placówek o ś wiatowych prowadzonych przez Miasto Łód ź  na dofinansowanie w szczególno ś ci zada ń : organizacj ę  cyklicznych imprez, konkursów przedmiotowych o tematyce patriotycznej, niepodległo ś ciowej, obywatelskiej; przegl ą dów twórczo ś ci dzieci, zapewnienie i podnoszenie jako ś ci kształcenia, wychowania i opieki, wsparcie uczniów zdolnych.;
;;;;;;;2115111 - Wydatki i opłaty zwi ą zane z prowadzonymi przez Wydział zadaniami; 214.000;wydatki bie Ŝą ce;Ś rodki finansowe przeznaczone zostan ą  na wydatki i opłaty zwi ą zane z prowadzonymi przez Wydział Edukacji zadaniami m.in. organizacj ę  uroczystej oprawy wr ę czania nagród Prezydenta Miasta Łodzi z okazji Dnia Edukacji Narodowej, organizacj ę  corocznych targów edukacyjnych, zabezpieczenie  ś rodków na opłaty zwi ą zane z wydatkami za energi ę  elektryczn ą  (szerokopasmowy dost ę p do Internetu), zabezpieczenie  ś rodków na konferencje i ró Ŝ nego rodzaju uroczysto ś ci zwi ą zane z o ś wiat ą , zakup piecz ą tek. ;
;;;;;;;2133301 - Miejski program wspierania uczniów szczególnie uzdolnionych; 50.000;wydatki bie Ŝą ce;Ś rodki przeznaczone b ę d ą  na wypłat ę  w roku 2014 stypendiów uczniom łódzkich szkół, osi ą gaj ą cym szczególne wyniki w procesie dydaktycznym. Stypendia stanowi ą  metod ę  motywacyjnego wspierania edukacji uzdolnionych uczniów poprzez ułatwienie im mo Ŝ liwo ś ci wszechstronnego rozwoju.;
;;;;;;;2153971 - "Pozna ć  - Zrozumie ć  - Do ś wiadczy ć . Praktyczne przygotowanie do wykonywania zawodu nauczyciela wczesnej edukacji"; 2.000;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Miasto Łód ź  uczestniczy w realizacji projektu jako partner. Beneficjentem realizuj ą cym projekt jest Uniwersytet Łódzki (lider projektu). Celem projektu jest przygotowanie wybranych przedszkoli i szkół podstawowych do realizacji praktyk zawodowych orazpoprawa jako ś ci działa ń  edukacyjnych przez nauczycieli pracuj ą cych w kształceniu zintegrowanym na rzecz studentów studiów stacjonarnych kierunku pedagogika - specj. Edukacja wczesnoszkolna iwychowanie przedszkolne do wykonywania zawodu nauczyciela w przedszkolu i w szkole. W zakresie"Partnera" cel projektu b ę dzie realizowany poprzez uczestnictwo w pracach Grupy Steruj ą cej.  W imieniu partnera zadanie jest realizowane przez Wydział Edukacji UMŁ. Okres realizacji projektu to lata2010-2014.;
;;;;;;;2175041 - Sfinansowanie zakładowego funduszu  ś wiadcze ń  socjalnych dla nauczycieli emerytów i rencistów; 4.280.371;wydatki bie Ŝą ce;Ś rodki przeznaczone zostan ą  na sfinansowanie zakładowego funduszu  ś wiadcze ń  socjalnych dla nauczycieli emerytów i rencistów - byłych pracowników szkół i placówek opieku ń czo - wychowawczych. ;
;;;;;;;2175591 - Stypendia motywacyjne dla uczniów łódzkich szkół; 80.000;wydatki bie Ŝą ce;Z zadania tego finansowane b ę d ą  stypendia udzielane uczniom, którzy uzyskaj ą  wysok ą   ś redni ą  ocen w semestrze. Zgodnie z Art.90g Ustawy o systemie o ś wiaty dyrektor szkoły mo Ŝ e udzieli ć  stypendium za wyniki w nauce lub za osi ą gni ę cia sportowe po zasi ę gni ę ciu opinii komisji stypendialnej i rady pedagogicznej w porozumieniu z organem prowadz ą cym szkoł ę .;
;;;;;;;2175701 - "Wyj ą tkowy ucze ń "; 2.608.800;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest wyrównywanie szans edukacyjnych uczniów klas I - III ze szkół podstawowych i szkół podstawowych kształcenia specjalnegow Mie ś cie Łodzi w okresie realizacji projektu poprzez dostosowanie oddziaływa ń  do ich indywidualnych wła ś ciwo ś ci rozwojowych tj. organizacj ę  zaj ęć  dodatkowych adekwatnie do zdiagnozowanych potrzeb i mo Ŝ liwo ś ci uczniów z wykorzystaniem pomocy i sprz ę tu techno - dydaktycznego. Doposa Ŝ enie szkół podstawowych w niezb ę dne  ś rodki techno-dydaktyczne i materiały umo Ŝ liwiaj ą ce indywidualizowanie procesu kształcenia i wychowania. Projekt realizowany jest przez Wydział Edukacji UMŁ. Okres realizacji projektu to lata 2012-2014.;
;;;;;;;2181921 - "TRAMPOLINA - przedszkole drog ą  do sukcesu"; 197.207;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest stworzenie warunków równych szans edukacyjnych dla dzieci w wieku 3-4 lat, m.in. poprzez utworzenie 18 dodatkowych miejscprzedszkolnych w nowym oddziale. Projekt realizowany jest przez Przedszkole Miejskie nr 152 w Łodzi. Okres realizacji projektu to lata 2012-2014.;
;;;;;;;2181931 - "Przedszkole szans ą  na lepsze dorastanie"; 220.868;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest stworzenie warunków równych szans edukacyjnych dla dzieci w wieku 3-5 lat, m.in. poprzez wygenerowanie dodatkowych miejscprzedszkolnych - utworzenie nowej grupy. Projekt realizowany jest przez Przedszkole Miejskie nr 34 w Łodzi. Okres realizacji projektu to lata 2012-2014.;
;;;;;;;2182501 - "Maluchy na start"; 204.095;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest obj ę cie edukacj ą  przedszkoln ą grupy dzieci w wieku 3-5 lat, które w momencie przyst ą pienia do projektu nie ucz ę szczały do przedszkola oraz stworzenie im równych szans edukacyjno-wychowawczych i opieku ń czych.  Projekt realizowany jest przez Przedszkole Miejskie nr 137 Integracyjne w Łodzi. Okres realizacji projektuto lata 2013-2014.;
;;;;;;;2182701 - Organizacja "Dnia przedszkolaka"; 32.500;wydatki bie Ŝą ce;Ś rodki finansowe planuje si ę  przeznaczy ć  na zorganizowanie centralnych obchodów "Dnia przedszkolaka".;
;;;;;;;2182711 - Bie Ŝą ca obsługa systemów informatycznych zwi ą zanych z elektroniczn ą  organizacj ą , planowaniem i sprawozdawczo ś ci ą  szkół; 195.000;wydatki bie Ŝą ce;Ś rodki finansowe przeznaczone b ę d ą  na bie Ŝą c ą  obsług ę  systemów informatycznych zwi ą zanych z elektroniczn ą  organizacj ą , planowaniem i sprawozdawczo ś ci ą  szkół oraz zakup usługi asysty technicznej aplikacji ODPN oraz OSON (programy te słu Ŝą  do: rejestracji oraz naliczania dotacji dla szkół i placówek niepublicznych - ODPN oraz do rejestracji uczniów realizuj ą cych obowi ą zek nauki - OSON).;
;;;;;;;2190231 - Wydatki zwi ą zane z wypłat ą  dodatkowego wynagrodzenia rocznego dla pracowników, dla których wynagrodzenia osobowe w 2013 r. były finansowane ze  ś rodków projektu "Przedszkole dla malucha"; 209.220;wydatki bie Ŝą ce;Wydatki zwi ą zane z wypłat ą  dodatkowego wynagrodzenia rocznego za rok 2013 przez Łódzkie Centrum Doskonalenia Nauczycieli i Kształcenia Praktycznego dla pracowników (76,55 etatów, w tym 36,80 etatówpracowników pedagogicznych i 39,75 etatów pracowników obsługi), dla których wynagrodzeniaosobowe w 2013 r. były finansowane ze  ś rodków projektu "Przedszkole dla malucha".;
;;;;;;;2190611 - Wydatki realizowane w ramach bud Ŝ etu obywatelskiego; 120.000;wydatki bie Ŝą ce;W ramach bud Ŝ etu obywatelskiego planuje si ę  realizacj ę  zadania pn. "Akademia Koszykówki Marcina Gortata" na kwot ę  120.000 zł. W ramach w/w zadania planuje si ę  realizacj ę  przedsi ę wzi ę cia pn. "Akademia Koszykówki Marcina Gortata". W wytypowanych do udziału w projekcie szkołach podstawowych realizowane b ę d ą  zaj ę cia pozalekcyjne (w postaci gry w koszykówk ę ) dla uczniów klas IV-VI w wymiarze 4 godzin tygodniowo. W ramach projektu planuje si ę  tak Ŝ e realizacj ę  szkole ń  dla kadry trenerskiej oraz rozgrywki turniejów mi ę dzy dru Ŝ ynami łódzkisz szkół podstawowych.;
;;;;;;;2190701 - "Learning innovative teaching"; 62.194;wydatki bie Ŝą ce;Powy Ŝ sze zadanie realizowane jest w ramach projektu systemowego "Zagraniczna mobilno ść  szkolnej kadry edukacyjnej w ramach projektów instytucjonalnych", w ramach Programu Operacyjnego KapitałLudzki współfinansowanego ze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest podniesienie jako ś ci i atrakcyjno ś ci kształcenia i doskonalenia zawodowego nauczycieli przez dofinansowanie ró Ŝ nych form podnoszenia kwalifikacji zawodowych za granic ą  oraz stworzenie profesjonalnych struktur organizowania mobilno ś ci ponadnarodowej w instytucjach. W ramach zadania realizowany b ę dzie projekt przez:  -  Zespół Szkół Ogólnokształc ą cych nr 7 w Łodzi - projekt „Learning innovative teaching" ("Uczenie si ę innowacyjnego nauczania"). Celem projektu jest podniesienie jako ś ci pracy szkoły w kontek ś cie indywidualizacji procesu dydaktyczno-wychowawczego, doskonalenie nauczycieli w aspekcieposługiwania si ę  j ę zykiem obcym oraz zdobycie do ś wiadcze ń  w obszarze organizowania mobilno ś ci ponadnarodowych dla nauczycieli.Realizacja zadania obejmuje lata szkolne 2013/2014 i 2014/2015.;
;;;;;;;2190711 - "Mobility for creativity - european dimension of education"; 92.147;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach projektu systemowego "Zagraniczna mobilno ść  szkolnej kadry edukacyjnej w ramach projektów instytucjonalnych" w ramach Programu Operacyjnego Kapitał Ludzkiwspółfinansowanego ze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest podniesienia jako ś ci i atrakcyjno ś ci kształcenia i doskonalenia zawodowego nauczycieli przez dofinansowanie ró Ŝ nych form podnoszenia kwalifikacji zawodowych za granic ą  oraz stworzenie profesjonalnych struktur organizowania mobilno ś ci ponadnarodowej w instytucjach. W ramach zadania realizowany b ę dzie projekt przez:  -  Wydział Edukacji Urz ę du Miasta Łodzi - projekt „Mobility for creativity - european dimension of education" ("Mobilno ść  dla kreatywno ś ci - europejski wymiar edukacji"). Celem projektu jest zwi ę kszenie wiedzy i wymiana do ś wiadcze ń  w zakresie rozwoju szkolnictwa zawodowego oraz poprawa znajomo ś ci j ę zyka obcego w ś ród uczestników projektu (nauczycieli i pracowników Wydziału Edukacji) poprzez udział w mi ę dzynarodowej wizycie studyjnej w Turcji. Realizacja zadania obejmuje rok szkolny 21013/2014 r.;
;;;;;;;2190751 - "Partnerski projekt Comenius Regio 2013/2015"; 109.260;wydatki bie Ŝą ce;Dotyczy projektów realizowanych ze  ś rodków pozyskanych w ramach Programu Wspólnoty Europejskiej "Uczenie si ę  przez całe  Ŝ ycie - COMENIUS". Celem programu Comenius Regio jest wzmacnianie europejskiego wymiaru edukacji poprzez promowanie współpracy mi ę dzy lokalnymi i regionalnymi władzami o ś wiatowymi w Europie poprzez wspieranie wymiany, współpracy i mobilno ś ci pomi ę dzy systemami edukacji i szkolenia na obszarze UE, tak by stały si ę  one  ś wiatowym wzorcem jako ś ci. Projekt „PoCLILujmy razem dla dalszego rozwoju edukacji dwuj ę zycznej w naszych regionach” realizowany b ę dzie przez Publiczne  Gimnazjum nr 15 w Łodzi . Celem projektu jest nawi ą zanie stałej współpracy pomi ę dzy partnerami dla dalszego rozwoju dwuj ę zycznego, stworzenie materiałów edukacyjnych i dydaktycznych, wzrost umiej ę tno ś ci w zakresie posługiwania si ę  technikami informatycznymi, promocja nauczania dwuj ę zycznego jako elementu kompetencji j ę zykowej i kulturowej oraz wzrost wiedzy o systemach edukacji, sposobie  Ŝ ycia i kulturze regionów partnerskich, rozwój współpracy mi ę dzynarodowej.  Wy Ŝ ej opisany projekt jest projektem partnerskim - oprócz PG nr 15 (któremu powierzono realizacj ę umowy) projekt realizowany jest równie Ŝ  przez: Urz ą d Miasta Łodzi (Wydział Edukacji) i Poleski O ś rodek Sztuki.  Realizacja zadania obejmuje lata szkolne 2013/2014 i 2014/2015.;
;;;;;;;2190761 - "Partnerski projekt Comenius Regio 2013/2015"; 6.452;wydatki bie Ŝą ce;Dotyczy projektów realizowanych ze  ś rodków pozyskanych w ramach Programu Wspólnoty Europejskiej "Uczenie si ę  przez całe  Ŝ ycie - COMENIUS". Celem programu Comenius Regio jest wzmacnianie europejskiego wymiaru edukacji poprzez promowanie współpracy mi ę dzy lokalnymi i regionalnymi władzami o ś wiatowymi w Europie poprzez wspieranie wymiany, współpracy i mobilno ś ci pomi ę dzy systemami edukacji i szkolenia na obszarze UE, tak by stały si ę  one  ś wiatowym wzorcem jako ś ci. Projekt „PoCLILujmy razem dla dalszego rozwoju edukacji dwuj ę zycznej w naszych regionach”. realizowany b ę dzie przez Urz ą d Miasta Łodzi. Celem projektu jest nawi ą zanie stałej współpracy pomi ę dzy partnerami dla dalszego rozwoju dwuj ę zycznego, stworzenie materiałów edukacyjnych i dydaktycznych, wzrost umiej ę tno ś ci w zakresie posługiwania si ę  technikami informatycznymi, promocja nauczania dwuj ę zycznego jako elementu kompetencji j ę zykowej i kulturowej oraz wzrost wiedzy o systemach edukacji, sposobie  Ŝ ycia i kulturze regionów partnerskich, rozwój współpracy mi ę dzynarodowej.  Wy Ŝ ej opisany projekt jest projektem partnerskim - oprócz PG nr 15 (któremu powierzono realizacj ę umowy) projekt realizowany jest równie Ŝ  przez Urz ą d Miasta Łodzi (Wydział Edukacji) i Poleski O ś rodek Sztuki.  Realizacja zadania obejmuje lata szkolne 2013/2014 i 2014/2015.;
;;;;;;;2190911 - Wycieczki Patriotyczne; 60.000;wydatki bie Ŝą ce;Ś rodki zostan ą  przeznaczone na dofinansowanie wycieczek dla uczniów szkół ponadgimnazjalnych w miejsca pami ę ci narodowej w Polsce i na Ukrainie we współpracy z Zarz ą dem Okr ę gu  Ś wiatowego Zwi ą zku  ś ołnierzy AK Łód ź  - Barka oraz ZHP Oddział Łódzki;
;;;;;;Powiat;2098182 - Realizacja programów aktywizacji społecznej młodzie Ŝ y; 105.000;wydatki bie Ŝą ce;Ś rodki finansowe przeznaczone zostan ą  na wspieranie klubów młodzie Ŝ owych, społecznych inicjatyw młodzie Ŝ y oraz inicjatyw na rzecz młodzie Ŝ y, pomoc organizacjom pozarz ą dowym, pracuj ą cym na rzecz rodzin i dzieci znajduj ą cych si ę   w kryzysie. Ponadto w ramach zadania  planuje si ę : prowadzenie zaj ęć  skierowanych do mniejszo ś ci etnicznych i kulturowych, maj ą cych na celu wzmacnianie pozytywnych zachowa ń  społecznych; zaj ęć  dla dzieci i młodzie Ŝ y, maj ą cych na celu promowanie zachowa ń  tolerancji wobec odmienno ś ci kulturowych, a tak Ŝ e kształtowanie warto ś ci poprzez uczestnictwo  w kulturze. ;
;;;;;;;2133302 - Miejski program wspierania uczniów szczególnie uzdolnionych; 50.000;wydatki bie Ŝą ce;Ś rodki przeznaczone zostan ą  na wypłat ę  stypendiów uczniom łódzkich szkół, osi ą gaj ą cym szczególne wyniki w procesie dydaktycznym. Stypendia stanowi ą  metod ę  motywacyjnego wspierania edukacji uzdolnionych uczniów poprzez ułatwienie im mo Ŝ liwo ś ci wszechstronnego rozwoju.;
;;;;;;;2162802 - "Kształtowanie kompetencji personalnych i społecznych w szkole zawodowej drog ą  do sukcesu na rynku pracy"; 86.330;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest wypracowanie, upowszechnienie i wł ą czenie do głównego nurtu polityki edukacyjnej nowego rozwi ą zania w postaci Innowacyjnego Programu Szkolnego Doradztwa Zawodowego słu Ŝą cego modernizacji i rozszerzeniu oferty szkół kształcenia zawodowego. Projekt realizowany jest przez Łódzkie Centrum Doskonalenia Nauczycieli i Kształcenia Praktycznego wŁodzi. Okres realizacji projektu to lata 2011-2014.;
;;;;;;;2162962 - "Szkoła nowych umiej ę tno ś ci"; 95.882;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest wzmocnienie zdolno ś ci u uczniów klas I-IV ZSP Nr 2 w Łodzi do przyszłego zatrudnienia poprzez uzyskanie przez nich umiej ę tno ś ci przydatnych na rynku pracy z zakresu: obsługi kas fiskalnych, grafiki komputerowej, obsługi urz ą dze ń biurowych, komunikacji interpersonalnej, prowadzenia samochodu osobowego oraz wzrost kompetencjikluczowych w zakresie j ę zyka ojczystego i obcego oraz matematyki.  Projekt realizowany jest przez Zespół Szkół Ponadgimnazjalnych nr 2 w Łodzi. Okres realizacji projektu tolata 2012-2014.;
;;;;;;;2175052 - Sfinansowanie zakładowego funduszu  ś wiadcze ń  socjalnych dla nauczycieli emerytów i rencistów; 3.309.283;wydatki bie Ŝą ce;Ś rodki przeznaczone zostan ą  na sfinansowanie zakładowego funduszu  ś wiadcze ń  socjalnych dla nauczycieli emerytów i rencistów - byłych pracowników szkół i placówek opieku ń czo-wychowawczych. ;
;;;;;;;2175592 - Stypendia motywacyjne dla uczniów łódzkich szkół; 50.000;wydatki bie Ŝą ce;Z zadania tego finansowane b ę d ą  stypendia udzielane uczniom, którzy uzyskaj ą  wysok ą   ś redni ą  ocen w semestrze. Zgodnie z art.90g Ustawy o systemie o ś wiaty dyrektor szkoły mo Ŝ e udzieli ć  stypendium za wyniki w nauce lub za osi ą gni ę cia sportowe,  po zasi ę gni ę ciu opinii komisji stypendialnej i rady pedagogicznej w porozumieniu z organem prowadz ą cym szkoł ę .;
;;;;;;;2182092 - "Partnerski Projekt Comenius Regio 2012/2014"; 25.428;wydatki bie Ŝą ce;Dotyczy projektów realizowanych ze  ś rodków pozyskanych w ramach Programu Wspólnoty Europejskiej "Uczenie si ę  przez całe  Ŝ ycie - COMENIUS". Celem programu Comenius Regio jest wzmacnianie europejskiego wymiaru edukacji poprzez promowanie współpracy mi ę dzy lokalnymi i regionalnymi władzami o ś wiatowymi w Europie poprzez wspieranie wymiany, współpracy i mobilno ś ci pomi ę dzy systemami edukacji i szkolenia na obszarze UE, tak by stały si ę  one  ś wiatowym wzorcem jako ś ci.  W ramach zadania realizowany jest projekt przez: - Zespół Szkół Ogólnokształc ą cych nr 7 w Łodzi - projekt "Turystyka sentymentalna w edukacji regionalnej i obywatelskiej". Celem projektu jest zdefiniowanie poj ę cia turystyki sentymentalnej i jej miejsca w edukacji regionalnej i obywatelskiej oraz u ś wiadomienie nauczycielom potrzeby przekazywania młodym ludziom tre ś ci, które kształtuj ą  poczucie przywi ą zania do najbli Ŝ szego otoczenia oraz zacie ś nienie współpracy mi ę dzy władzami o ś wiatowymi, szkołami i instytucjami wspieraj ą cymi szkoły. Jest to projekt partnerski - oprócz ZSO nr 7 (któremu powierzono realizacj ę  umowy) projekt realizowany jest równie Ŝ  przez: Urz ą d Miasta Łodzi (Wydział Edukacji) i Łódzkie Centrum Doskonalenia Nauczycieli i Kształcenia Praktycznego.  Realizacja zadania obejmuje lata szkolne 2012/2013 i 2013/2014.;
;;;;;;;2182252 - "Kompleksowe wsparcie szkół - sukces edukacji"; 841.870;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Celem projektu jest poprawa kompleksowego wsparcia szkół poprzez wprowadzenie zintegrowanego systemu doskonalenia nauczycieli wybranychplacówek o ś wiatowych i obj ę cia ich pilota Ŝ em w zakresie zmodernizowanego systemu doskonalenia.  Projekt realizowany jest przez Łódzkie Centrum Doskonalenia Nauczycieli i Kształcenia Praktycznego wŁodzi. Okres realizacji projektu to lata 2013-2014.;
;;;;;;;2182422 - "Partnerski Projekt Comenius Regio 2012/2014"; 1.699;wydatki bie Ŝą ce;Dotyczy projektów realizowanych ze  ś rodków pozyskanych w ramach Programu Wspólnoty Europejskiej "Uczenie si ę  przez całe  Ŝ ycie - COMENIUS". Celem programu Comenius Regio jest wzmacnianie europejskiego wymiaru edukacji poprzez promowanie współpracy mi ę dzy lokalnymi i regionalnymi władzami o ś wiatowymi w Europie poprzez wspieranie wymiany, współpracy i mobilno ś ci pomi ę dzy systemami edukacji i szkolenia na obszarze UE, tak by stały si ę  one  ś wiatowym wzorcem jako ś ci. W ramach zadania realizowany jest projekt przez: - Urz ą d Miasta Łodzi (Wydział Edukacji) - projekt "Turystyka sentymentalna w edukacji regionalnej i obywatelskiej". Celem projektu jest zdefiniowanie poj ę cia turystyki sentymentalnej i jej miejsca w edukacji regionalnej i obywatelskiej oraz u ś wiadomienie nauczycielom potrzeby przekazywania młodym ludziom tre ś ci, które kształtuj ą  poczucie przywi ą zania do najbli Ŝ szego otoczenia oraz zacie ś nienie współpracy mi ę dzy władzami o ś wiatowymi, szkołami i instytucjami wspieraj ą cymi szkoły. Jest to projekt partnerski - oprócz Wydziału Edukacji UMŁ projekt realizowany jest równie Ŝ  przez: Zespół Szkół Ogólnokształc ą cych nr 7 w Łodzi (któremu powierzono realizacj ę  umowy) i Łódzkie Centrum Doskonalenia Nauczycieli i Kształcenia Praktycznego. Realizacja zadania obejmuje lata szkolne 2012/2013 i 2013/2014.;
;;;;;;;2182612 - "PWP Nowe kwalifikacje, nowe mo Ŝ liwo ś ci - Programista CNC zawodem przyszło ś ci!"; 202.470;wydatki bie Ŝą ce;Dotyczy projektu realizowanego w ramach Programu Operacyjnego Kapitał Ludzki współfinansowanegoze  ś rodków Europejskiego Funduszu Społecznego. Realizowany projekt jest Projektem Współpracy Ponadnarodowej (PWP). Celem projektu jest podniesienie kompetencji w obszarze zawodowym"Programowanie obrabiarek CNC" w ś ród uczniów ze szkół zawodowych z terenu województwa łódzkiego przy adaptacji rozwi ą za ń  PPN (Partnera Ponadnarodowego) w zakresie programowania obrabiarek sterowanych numerycznie w 5 osiach współrz ę dnych.  Projekt realizowany jest przez Łódzkie Centrum Doskonalenia Nauczycieli i Kształcenia Praktycznego wŁodzi. Okres realizacji projektu to lata 2013-2015.;
;;;;;;;2190502 - "Partnerski projekt Grundtviga 2013/2015"; 22.400;wydatki bie Ŝą ce;Dotyczy projektów realizowanych ze  ś rodków pozyskanych w ramach Programu Wspólnoty Europejskiej "Uczenie si ę  przez całe  Ŝ ycie - Grundtvig". Celem projektów jest rozszerzenie współpracy europejskiej pomi ę dzy mniejszymi organizacjami, które chc ą  uwzgl ę dni ć  współprac ę  europejsk ą  w swojej działalno ś ci edukacyjnej dorosłych.W ramach zadania realizowany b ę dzie projekt przez:   -  Centrum Zaj ęć  Pozaszkolnych nr 2 w Łodzi - projekt „Dziel ą c Dzieci ń stwo”, który jest skierowany do osób dorosłych (50+) pracuj ą cych lub chc ą cych uczestniczy ć  w zaj ę ciach z dzie ć mi oraz kadry i pracowników instytucji chc ą cych poszerzy ć  sw ą  wiedz ę  i umiej ę tno ś ci w obszarze edukacji i współpracy mi ę dzypokoleniowej. Głównym celem projektu jest kształcenie dorosłych, prowadz ą ce do rozwoju i wypracowania efektywnych form integracji oraz relacji mi ę dzy generacjami, m.in. poprzez ukazanie młodemu pokoleniu warto ś ciowego, kreatywnego i wł ą czaj ą cego społecznie wizerunku osób starszych. Realizacja zadania obejmuje lata szkolne 2013/2014 i 2014/2015.;
;; 2.065.000;851 Ochrona zdrowia; 525.000;85153 Zwalczanie narkomanii;Gmina;2115081 - Miejski Program Przeciwdziałania Narkomanii - zaj ę cia dodatkowe dla dzieci i młodzie Ŝ y szkół łódzkich; 495.000;wydatki bie Ŝą ce;W roku 2014 w ramach zadania planowane jest prowadzenie zaj ęć  dodatkowych (ze szczególnym uwzgl ę dnieniem zaj ęć  rozwijaj ą cych, wzmacniaj ą cych zainteresowania i rozwijaj ą cych umiej ę tno ś ci aktywnego sp ę dzania czasu wolnego), programów liderskich, programów mediacji oraz współpraca z instytucjami i organizacjami kulturalnymi, sportowymi i o ś wiatowymi.;
;;;;;;;2162121 - Miejski Program Przeciwdziałania Narkomanii - imprezy promuj ą ce zdrowie; 30.000;wydatki bie Ŝą ce;W roku 2014 w ramach zadania zorganizowane zostan ą  m.in. imprezy promuj ą ce zdrowie, konferencje, seminaria. Jednocze ś nie zorganizowana b ę dzie współpraca z wyspecjalizowanymi instytucjami i organizacjami pomocowymi.;
;;;; 1.540.000;85154 Przeciwdziałanie alkoholizmowi;Gmina;2097621 - Miejski Program Profilaktyki i Rozwi ą zywania Problemów Alkoholowych - zaj ę cia dodatkowe dla dzieci i młodzie Ŝ y szkół łódzkich; 1.465.000;wydatki bie Ŝą ce;W roku 2014 w ramach zadania planowane jest prowadzenie zaj ęć  dodatkowych (ze szczególnym uwzgl ę dnieniem zaj ęć  rozwijaj ą cych, wzmacniaj ą cych zainteresowania i rozwijaj ą ce umiej ę tno ś ci aktywnego sp ę dzania czasu wolnego). Ponadto planowana jest równie Ŝ  współpraca z instytucjami oraz organizacjami kulturalnymi, sportowymi i o ś wiatowymi.;
;;;;;;;2133231 - Miejski Program Profilaktyki i Rozwi ą zywania Problemów Alkoholowych - szkolenia wybranych grup zawodowych; 5.000;wydatki bie Ŝą ce;W roku 2014 w ramach zadania planowane jest organizowanie szkole ń , konferencji, seminariów i imprez promuj ą cych zdrowie. Planowane jest równie Ŝ  wydawanie materiałów oraz organizowanie i prowadzenie kampanii edukacyjnych.;
;;;;;;;2162131 - Miejski Program Profilaktyki i Rozwi ą zywania Problemów Alkoholowych - imprezy promuj ą ce zdrowie; 70.000;wydatki bie Ŝą ce;W roku 2014 w ramach zadania planowane jest organizowanie m.in. imprez promuj ą cych zdrowie, konferencje, seminaria. Ponadto w ramach zadania realizowana b ę dzie współpraca z wyspecjalizowanymi instytucjami i organizacjami pomocowymi.;
;; 157.000;852 Pomoc społeczna; 157.000;85205 Zadania w zakresie przeciwdziałania przemocy w rodzinie;Gmina;2133851 - Gminny Program Przeciwdziałania Przemocy w Rodzinie; 157.000;wydatki bie Ŝą ce;Planowana kwota przeznaczona b ę dzie na: poradnictwo medyczne, psychologiczne, pedagogiczne, rodzinne, prawne, socjalne; grupy wsparcia, telefon zaufania dla osób dotkni ę tych przemoc ą , promocj ę  i realizacj ę  procedur "Niebieskiej karty",  zaj ę cia korekcyjno - edukacyjne (indywidualne i grupowe) w zakresie radzenia sobie ze stresem, agresj ą  i konfliktem.;
;; 75.098.992;854 Edukacyjna opieka wychowawcza; 14.753.002;85401 Ś wietlice szkolne;Gmina;2097231 -  Ś wietlice dla uczniów i wychowanków; 13.849.810;wydatki bie Ŝą ce;W rozdziale tym finansowanych b ę dzie 86  ś wietlic przy szkołach podstawowych. Zgodnie z zatwierdzonymi organizacjami roku szkolnego 2013/2014 zatrudnienie wyniesie 263,09 etatówpedagogicznych.;
